module,item_name,venue_role,standard_batch_yield,allergens,notebooklm_tags
A,Safari Char-Grill Master Marinade,"Primary protein marinade for chicken, beef, pork, goat, skewers, wings, and grilled tray specials.",10 kg trimmed protein marinade load; approx. 22-28 portions depending cut.,Contains soy. Can be made gluten-free with tamari.,marinade-bank; grill-engine; cross-utilisation; Safari-Lounge-IP; batch-protein; soy-allergen
A,Gochu-BBQ Sticky Glaze,"Premium gloss sauce for grilled meats, wings, pork belly, brisket-style beef, and scarcity drops.",5 litres glaze; coats approx. 18-24 kg cooked protein.,"Contains soy, sesame, and chili. Check gochujang for wheat.",sticky-glaze; gochujang; BBQ; premium-pricing; visual-abundance; scarcity-drop
A,Coconut Curry Wet Fry Base,"Batchable mother sauce for chicken, fish, goat, vegetables, beans, rice bowls, and family trays.",8 litres base; enough for 32-40 wet-fry portions before protein addition.,Contains coconut. Gluten-free if stock and curry powder are verified.,mother-sauce; coconut-curry; wet-fry-engine; batchable; delivery-friendly; low-inventory-variety
A,Green Herb Lime Crema,"Cold finishing sauce for wraps, grilled fish, rice bowls, bar snacks, and premium plating contrast.",3 litres crema; approx. 150 x 20 ml portions.,Contains dairy and egg unless vegan mayo/yoghurt are used.,cold-sauce; crema; wrap-system; visual-finish; upsell-sauce; dairy-egg-allergen
B,Base Wet Fry Aromatic Mix,"Universal pan-finish base for beef, goat, chicken, mushrooms, and beans.",6 kg aromatic base; enough for 60-75 portions.,No major allergens unless stock additions contain allergens.,wet-fry-base; pan-engine; cross-utilisation; labour-control; abundance-illusion
B,Black Pepper Beef Wet Fry,"Fast premium beef pan protein for rice bowls, wraps, bar plates, and office trays.",20 portions x 180 g finished beef mix.,Contains soy and sesame if glaze is used.,black-pepper-beef; wet-fry; rice-bowl; office-tray; premium-protein
B,Coconut Goat Wet Fry,Culturally strong slow-cooked protein lane for weekend allocation and family trays.,24 portions x 200 g finished goat mix.,Contains coconut. Check curry powder for allergens.,goat-wet-fry; coconut-curry; weekend-drop; family-bundle; cultural-strength
B,Korean Soy Chicken Pan Protein,"High-familiarity chicken system for lunch bowls, wraps, kids trays, and delivery.",30 portions x 160 g finished chicken.,Contains soy and sesame.,korean-soy-chicken; lunch-system; delivery-friendly; chicken-thigh; soy-sesame
C,Tamarind Coconut Fish Tray,"Signature fish lane for premium rice trays, Friday specials, and lighter catering.",18 portions x 180 g fish plus sauce.,Contains fish and coconut.,fish-lane; tamarind-coconut; premium-tray; preorder-control; seafood-allergen
C,Crispy Gochu Fish Bites,Bar snack and lunch protein designed for visual sauce gloss and shareability.,80 pieces; approx. 20 snack portions.,Contains fish. Gluten-free if flour sources are verified.,crispy-fish; bar-snack; sauce-gloss; shareability; dine-in-priority
C,Safari Smoke-Rub Roast Beef,"Hero roast protein for slicing into trays, wraps, bowls, and premium bar plates.",5 kg raw beef yields approx. 3.6-4.0 kg cooked; 24-30 portions.,No major allergens in base rub.,roast-beef; smoke-rub; hero-protein; trim-utilisation; premium-add-on
D,Coconut Turmeric Rice Base,"Default tray and bowl base for curry, fish, wet fry, and vegetarian systems.",10 kg cooked rice; approx. 40 x 250 g portions.,Contains coconut.,rice-base; coconut-rice; profit-absorber; tray-base; delivery-friendly
D,Smoky Tomato Pilau Rice,"High-aroma rice base for beef, BBQ, Tex-Mex, and bar snack conversion.",12 kg cooked rice; approx. 48 x 250 g portions.,Check stock for allergens.,pilau-rice; tomato-rice; BBQ-base; low-cost-abundance; cross-utilisation
D,Crispy Potato Hash Base,"Breakfast, bar snack, loaded fries, and family tray extender.",8 kg cooked potato hash; approx. 32 x 250 g portions.,No major allergens.,potato-base; bar-snack-base; breakfast-system; margin-absorber; loaded-fries
E,Korean Soy Chicken Rice Wrap,"High-volume lunch wrap using existing chicken, rice, pickles, and crema.",25 wraps.,"Contains wheat/gluten, soy, sesame, dairy, egg.",wrap-system; lunch-trade; korean-chicken; portable; office-bundle
E,Black Pepper Beef Street Wrap,Premium portable beef format for lunch and late-night delivery.,20 wraps.,"Contains gluten, dairy, egg, soy, sesame depending sauce.",beef-wrap; portable-premium; wet-fry; lunch-system; ghost-kitchen
E,Coconut Curry Vegetable Pocket,Vegetarian portable item using curry base and rice for low-cost menu breadth.,24 pockets.,Contains coconut and gluten unless gluten-free wrap is used.,vegetarian-wrap; curry-base; low-cost-high-variety; group-ordering; coconut
